,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC16604905,AC16604905,9958935601303338,http://data.onb.ac.at/ABO/%2BZ16811840X,Z16811840X,"Yates, William Holt","<<The>> Modern History And Condition Of Egypt, Its Climate, Diseases, And Capabilities; Exhibited In A Personal Narrative Of Travels In That Country: With An Account Of The Proceedings Of Mohammed Ali Pascha, From 1801 To 1843; Interspersed With Illustrations Of Scripture History, The Fulfilment Of Prophecy, And The Progress Of Civilization In The East.",,"<<The>> Modern History And Condition Of Egypt, Its Climate, Diseases, And Capabilities; Exhibited In A Personal Narrative Of Travels In That Country: With An Account Of The Proceedings Of Mohammed Ali Pascha, From 1801 To 1843; Interspersed With Illustrations Of Scripture History, The Fulfilment Of Prophecy, And The Progress Of Civilization In The East. $ In Two Volumes, With Illustrations $ By William Holt Yates, M.D. Member Of The Royal College Of Physicians In London, Graduate Of The Universities Of Cambridge And Edinburgh, Senior Physician To The General Dispensary, Member Of The Royal Asiatic Society Of Great Britain, President Of The Royal Medical And Royal Physical Societies Of Edinburgh, Etc.",Vol. I.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Smith, Elder And Co.",,,1843,1843,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten,,,56.O.24.(Vol.1) PRUNK,ZALT,
AC16604911,AC16604911,9958935601203338,http://data.onb.ac.at/ABO/%2BZ168118502,Z168118502,"Yates, William Holt","<<The>> Modern History And Condition Of Egypt, Its Climate, Diseases, And Capabilities; Exhibited In A Personal Narrative Of Travels In That Country: With An Account Of The Proceedings Of Mohammed Ali Pascha, From 1801 To 1843; Interspersed With Illustrations Of Scripture History, The Fulfilment Of Prophecy, And The Progress Of Civilization In The East.",,"<<The>> Modern History And Condition Of Egypt, Its Climate, Diseases, And Capabilities; Exhibited In A Personal Narrative Of Travels In That Country: With An Account Of The Proceedings Of Mohammed Ali Pascha, From 1801 To 1843; Interspersed With Illustrations Of Scripture History, The Fulfilment Of Prophecy, And The Progress Of Civilization In The East. $ In Two Volumes, With Illustrations $ By William Holt Yates, M.D. Member Of The Royal College Of Physicians In London, Graduate Of The Universities Of Cambridge And Edinburgh, Senior Physician To The General Dispensary, Member Of The Royal Asiatic Society Of Great Britain, President Of The Royal Medical And Royal Physical Societies Of Edinburgh, Etc.",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Smith, Elder And Co.",,,1843,1843,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten,,,56.O.24.(Vol.2) PRUNK,ZALT,
AC10424866,AC10424866,990035932580603338,http://data.onb.ac.at/ABO/%2BZ224512104,Z224512104,"Walsh, Robert",,,Narrative Of A Journey From Constantinople To England,,Third Edition,London,,,Westley,,,1829,1829,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 182",,,,eng,,,,,,,,,,,,,,,England ; Reise,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,13.E.21 PRUNK,ZALT,
AC09890669,AC09890669,990030477540603338,http://data.onb.ac.at/ABO/%2BZ200845603,Z200845603,"Gell, William",,,Narrative of a Journey in the Morea,,,London,,,Longman Hurst,,,1823,1823,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 119",,,,eng,,,,,,,,,,,,,,,Peloponnes ; Reise,TravelogueE19 Asien $ TravelogueE19 Orient,,BE.10.L.45 PRUNK,ZALT,
AC16604368,AC16604368,9958935604403338,http://data.onb.ac.at/ABO/%2BZ159303908,Z159303908,"Bonar, Andrew Alexander",Narrative Of A Mission Of Inquiry To The Jews From The Church Of Scotland In 1839.,,Narrative Of A Mission Of Inquiry To The Jews From The Church Of Scotland In 1839.,Vol. I.,Second Edition,Edinburgh,Edinburgh ; http://d-nb.info/gnd/4013557-3,,William Whyte & Co.,,,MDCCCXLII,1842,,,,,,,,,,eng,,,,,,,"Mac-Cheyne, Robert Murray",,,,,Reisebericht,,,Juden ; Bekehrung ; Palästina ; Reise,,,699-B.1 MAG,ZALT,
AC16604375,AC16604375,9958935604303338,http://data.onb.ac.at/ABO/%2BZ159304007,Z159304007,"Bonar, Andrew Alexander",Narrative Of A Mission Of Inquiry To The Jews From The Church Of Scotland In 1839.,,Narrative Of A Mission Of Inquiry To The Jews From The Church Of Scotland In 1839.,Vol. II.,Second Edition,Edinburgh,Edinburgh ; http://d-nb.info/gnd/4013557-3,,William Whyte & Co.,,,MDCCCXLII,1842,,,,,,,,,,eng,,,,,,,"Mac-Cheyne, Robert Murray",,,,,Reisebericht,,,Juden ; Bekehrung ; Palästina ; Reise,,,699-B.2 MAG,ZALT,
AC12310444,AC12310444,990047402490603338,http://data.onb.ac.at/ABO/%2BZ221011906,Z221011906,"Rich, Claudius James","Narrative of a residence in Koordistan, and on the site of ancient Nineveh; with journal of a voyage down the Tigris to Bagdad, and an account of a visit to Shirauz and Persepolis",,"Narrative of a residence in Koordistan, and on the site of ancient Nineveh; with journal of a voyage down the Tigris to Bagdad, and an account of a visit to Shirauz and Persepolis",1,,London,,,Duncan,,,1836,1836,,,,,,,,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Orient ; Kurdistan ; Forschungsreise,,,178106-B.1 MAG,ZALT,
AC12310454,AC12310454,990047402530603338,http://data.onb.ac.at/ABO/%2BZ221012005,Z221012005,"Rich, Claudius James","Narrative of a residence in Koordistan, and on the site of ancient Nineveh; with journal of a voyage down the Tigris to Bagdad, and an account of a visit to Shirauz and Persepolis",,"Narrative of a residence in Koordistan, and on the site of ancient Nineveh; with journal of a voyage down the Tigris to Bagdad, and an account of a visit to Shirauz and Persepolis",2,,London,,,Duncan,,,1836,1836,,,,,,,,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Orient ; Kurdistan ; Forschungsreise,,,178106-B.2 MAG,ZALT,
AC09718360,AC09718360,990028714230603338,http://data.onb.ac.at/ABO/%2BZ183444609,Z183444609,"Blaquiere, Edward",,,"Narrative of a second visit to Greece, including facts connected with the last days of Lord Byron.",,,London,,,Whittaker,,,1825,1825,,,,,,,,,,eng,,,,,,,,,,,,,,,"Byron, George Gordon Byron ; Tod ; Griechenland ; Reise",,,72.Cc.114 PRUNK,ZALT,
AC10389009,AC10389009,990035566420603338,http://data.onb.ac.at/ABO/%2BZ186039301,Z186039301,"Tully, Richard",,,"Narrative of a ten years' residence at Tripoli in Africa ... comprising authentic memoirs and anecdotes of the reigning bashaw also an account of the domestic manners of the Moors, Arabs and Turks",,,London,,,Colburn,,,1816,1816,,,,,,,,,,eng,,,,,,,,,,,,,,,Tripolis,,,75.B.11 PRUNK,ZALT,
AC09993940,AC09993940,990031533330603338,http://data.onb.ac.at/ABO/%2BZ179928702,Z179928702,"Jolliffe, Thomas R .....",,,"Narrative of an excursion from Corfu to Smyrna; comprising a progress through Albania and the North of Greece. With some Account of Athens, descriptive of the ancient and present state of that city. To which is annexed, a translation of The Erastae, of Plato",,,London,,,"Black, Young, and Young",,,1827,1827,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 149",,,,eng,,,,,,,,,,,,,,,Reise ; Izmir ; Griechen ; Philosophie ; Liebe ; Belletristische Darstellung,TravelogueE19 Europa $ TravelogueE19 Orient,,37313-B MAG,ZALT,
AC09884617,AC09884617,990030415270603338,http://data.onb.ac.at/ABO/%2BZ181910502,Z181910502,"Gamba, Peter count",,,"<<A>> Narrative Of Lord Byron's Last Journey To Greece $ Extracted From The Journal Of Count Peter Gamba, Who Attended His Lordship On That Expedition.",,,London,London,,John Murray,,,1825,1825,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,"Byron, George Gordon Byron ; Reise ; Griechenland ; Reise",,,80.F.8 PRUNK,ZALT,
AC11322153,AC11322153,990044484520603338,http://data.onb.ac.at/ABO/%2BZ171026705,Z171026705,"Belzoni, Giovanni Battista ; http://d-nb.info/gnd/118658093","Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia",,"Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia $ and of a journey to the coast of the Red Sea in search of the ancient Berenice ; And another to the oasis of Jupiter Ammon $ By G. Belzoni",[Textbd.],,London,,,Murry,,,1820,1820,"XIX, 483 S.",Portr.,,,,,,,,eng,,,,,,,,,,,,,,,Ägypten ; Ausgrabung ; Forschungsreise ; Rotes Meer ; Küste ; Nubien ; Ausgrabung ; Rotes Meer ; Küste ; Forschungsreise,,,251008-C.Text MAG,ZFID,
AC11322082,AC11322082,990044484330603338,,,"Belzoni, Giovanni Battista ; http://d-nb.info/gnd/118658093","Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia",,"Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia $ and of a journey to the coast of the Red Sea, in search of the ancient Berenice ; And another to the oasis of Jupiter Ammon $ By G. Belzoni","[Atlasbd.,2] ; Six new plates : Illustrative of the researches and operations of G. Belzoni in Egypt and Nubia",,London,,,Murray,,,1822,1822,[6] Bl.,nur Ill.,,,,,,,,eng,,,,,,,,,,,,,,,Ägypten ; Ausgrabung ; Forschungsreise ; Rotes Meer ; Küste ; Nubien ; Ausgrabung,,,"251007-F.2,Adl MAG",ZFID,
AC11322070,AC11322070,990044484300603338,,,"Belzoni, Giovanni Battista ; http://d-nb.info/gnd/118658093","Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia",,"Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia $ and of a journey to the coast of the Red Sea, in search of the ancient Berenice ; And another to the oasis of Jupiter Ammon $ By G. Belzoni",[Atlasbd.] ; Plates : Illustrative of the researches and operations of G. Belzoni in Egypt and Nubia,,London,,,Murray,,,1821,1821,[36] Bl.,"nur Ill., Kt.",,,,,,,,eng,,,,,,,,,,,,,,,Ägypten ; Ausgrabung ; Forschungsreise ; Rotes Meer ; Küste ; Nubien ; Ausgrabung,,,251007-F.2 MAG,ZFID,
AC11322039,AC11322039,990044484230603338,http://data.onb.ac.at/ABO/%2BZ171026407,Z171026407,"Belzoni, Giovanni Battista ; http://d-nb.info/gnd/118658093","Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia",,"Narrative of the operations and recent discoveries within the pyramids, temples, tombs, and excavations in Egypt and Nubia $ and of a journey to the coast of the Red Sea, in search of the ancient Berenice ; And another to the oasis of Jupiter Ammon $ By G. Belzoni",[Textbd.],,London,,,Murray,,,1821,1821,"XIX, [1] Bl., 533 S.","Portr., Kt.",,,,,,,,eng,,,,,,,,,,,,,,,Ägypten ; Ausgrabung ; Forschungsreise ; Rotes Meer ; Küste ; Nubien ; Ausgrabung,,,251007-C.1 MAG,ZFID,
AC09806955,AC09806955,990029621540603338,"http://data.onb.ac.at/ABO/%2BZ18392890X;
http://data.onb.ac.at/ABO/%2BZ158535903","Z18392890X;
Z158535903","Denham, Dixon ; http://d-nb.info/gnd/117632368",,,"Narrative of travels and discoveries in northern and central Africa in the years 1822, 1823 and 1824 ... with an Appendix",,,London,,,Murray,,,1826,1826,,,,,,,,,,eng,,,,,,,"Clapperton, Hugh ; http://d-nb.info/gnd/119426943",,,,,,,,Afrika ; Norden ; Forschungsreise ; Afrika ; Zentral- ; Forschungsreise,,,180752-C MAG $ 265787-C MAG,ZALT $ ZFID,
AC11862964,AC11862964,990045974170603338,http://data.onb.ac.at/ABO/%2BZ182666702,Z182666702,Evliyā Çelebī ; http://d-nb.info/gnd/11890390X,Seyāḩat-nāme,,"Narrative Of Travels In Europe, Asia, And Africa, In The Seventeenth Century $ by Evliyá Efendí. Translated from the Turkish by the Ritter Joseph von Hammer","[1,1]",,London,,,"Parbury, Allen & Co.",,,1834,1834,,,,,,,,,,eng,,,,,,"Hammer-Purgstall, Joseph <<von>> ; http://d-nb.info/gnd/118545426",,,,,,,,,Afrika ; Reise ; Asien ; Reise ; Europa ; Reise,,,"26743-C.1,1 MAG",ZALT,
AC11862969,AC11862969,990045974190603338,http://data.onb.ac.at/ABO/%2BZ18266660X,Z18266660X,Evliyā Çelebī ; http://d-nb.info/gnd/11890390X,Seyāḩat-nāme,,"Narrative Of Travels In Europe, Asia, And Africa, In The Seventeenth Century $ by Evliyá Efendí. Translated from the Turkish by the Ritter Joseph von Hammer","1,2",,London,,,"Parbury, Allen & Co.",,,1846,1846,,,,,,,,,,eng,,,,,,"Hammer-Purgstall, Joseph <<von>> ; http://d-nb.info/gnd/118545426",,,,,,,,,Afrika ; Reise ; Asien ; Reise ; Europa ; Reise,,,"26743-C.1,2 MAG",ZALT,
AC11862974,AC11862974,990045974200603338,http://data.onb.ac.at/ABO/%2BZ182666805,Z182666805,Evliyā Çelebī ; http://d-nb.info/gnd/11890390X,Seyāḩat-nāme,,"Narrative Of Travels In Europe, Asia, And Africa, In The Seventeenth Century $ by Evliyá Efendí. Translated from the Turkish by the Ritter Joseph von Hammer",2,,London,,,"Parbury, Allen & Co.",,,1850,1850,,,,,,,,,,eng,,,,,,"Hammer-Purgstall, Joseph <<von>> ; http://d-nb.info/gnd/118545426",,,,,,,,,Afrika ; Reise ; Asien ; Reise ; Europa ; Reise,,,26743-C.2 MAG,ZALT,
AC10088285,AC10088285,990032495220603338,http://data.onb.ac.at/ABO/%2BZ183932203,Z183932203,"Lyon, George Francis ; http://d-nb.info/gnd/11766796X",,,"<<A>> Narrative Of Travels In Northern Africa, In The Years 1818, 19, And 20; Accompanied By Geographical Notices Of Soudan, And Of The Course Of The Niger. $ With A Chart Of The Routes, And A Variety Of Coloured Plates, Illustrative Of The Costumes Of The Several Natives Of Northern Africa. $ By Captain G.F. Lyon, R.N. Companion Of The Late Mr. Ritchie",,,London,London,,John Murray,,,1821,1821,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Afrika ; Norden ; Reise,,,180804-C MAG,ZALT,
AC08085083,AC08085083,990027299630603338,http://data.onb.ac.at/ABO/%2BZ69857400,Z69857400,"Turner, Richard",,,"<<A>> New And Easy Introduction To Geography, And The Use Of The Globes, In A Series Of Letters To A Youth At School $ Illustrated with Copper Plates, And A New Set Of Maps, Drawn and engraved by the best Artists ; Including A large Map of the World, in which are delineated the different Tracks of Captain Cook's Ship, in his three Voyages round the World $ By The Rev. R. Turner, Jun. L.L.D. Late of Magdalen-Hall, Oxford",,"The Fifteenth Edition, Considerably improved",London,,,"Printed for F. C. and J. Rivington; G. And W. B. Whittaker; Longman, Hurst, Rees, Orme, and Brown ... $ Brodie and Dowding","Rivington Whittaker Longman, Hurst, Rees, Orme and Brown",,1819 $ 1819,1819,"[1] mehrf. gef. Bl., X, 312 S., [25] Bl.",26 Kt. (Kupferst.),,,,"Vorlageform des Erscheinungsvermerks: London: Printed for F. C. and J. Rivington; G. and W. B. Whittaker; Longman, Hurst, Rees, Orme, and Brown; Baldwin, Cradock, and Joy; Scatcherd and Letterman; T. Wilkie; J. Mawman; J. Nunn; Harris and Son; J. Black; Simpkin and Marshall; T. and J. Allman; E. Edwards; and Burton and Smith. 1819. [Brodie and Dowding, Printers, Canal, Salisbury]",,,,eng,,,,,,,,,,,,,,,Geografie ; Einführung ; Globus ; Anleitung,,,364291-A MAG $ UNASSIGNED,ZKAR $ ZKAR,
AC16604453,AC16604453,9958935604003338,http://data.onb.ac.at/ABO/%2BZ174876001,Z174876001,"Davy, John","Notes And Observations On The Ionian Islands And Malta: With Some Remarks On Constantinople And Turkey, And On The System Of Quarantine As At Present Conducted.",,"Notes And Observations On The Ionian Islands And Malta: With Some Remarks On Constantinople And Turkey, And On The System Of Quarantine As At Present Conducted. $ In Two Volumes $ By John Davy, M.D., F.R.SS., L. & E. Inspector-General Of Army-Hospitals, L.R.",Vol. I.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Smith, Elder & Co.",,,MDCCCXLII,1842,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Ionische Inseln ; Reise ; Malta ; Reise,,,54.C.30.(Vol.1) PRUNK,ZALT,
AC16604455,AC16604455,9958935603903338,http://data.onb.ac.at/ABO/%2BZ174876104,Z174876104,"Davy, John","Notes And Observations On The Ionian Islands And Malta: With Some Remarks On Constantinople And Turkey, And On The System Of Quarantine As At Present Conducted.",,"Notes And Observations On The Ionian Islands And Malta: With Some Remarks On Constantinople And Turkey, And On The System Of Quarantine As At Present Conducted. $ In Two Volumes $ By John Davy, M.D., F.R.SS., L. & E. Inspector-General Of Army-Hospitals, L.R.",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Smith, Elder & Co.",,,MDCCCXLII,1842,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Ionische Inseln ; Reise ; Malta ; Reise,,,54.C.30.(Vol.2) PRUNK,ZALT,
AC16604497,AC16604497,9958935603803338,http://data.onb.ac.at/ABO/%2BZ166926007,Z166926007,"Burckhardt, John-Lewis","Notes On The Bedouins And Wahábys, Collected During His Travels In The East,",,"Notes On The Bedouins And Wahábys, Collected During His Travels In The East, $ Published By Authority Of The Association For Promoting The Discovery Of The Interior Of Africa : In Two Volumes $ By The Late John Lewis Burckhardt",Vol. I.,,London,London ; http://d-nb.info/gnd/4074335-4,,Henry Colburn And Richard Bentley,,,1831,1831,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 169",,,,eng,,,,,,,,,,,,Reisebericht,,,Beduine ; Wahhabiten,TravelogueE19 Afrika Asien $ TravelogueE19 Orient,,54.E.23.(Vol.1) PRUNK,ZALT,
AC16604499,AC16604499,9958935603703338,http://data.onb.ac.at/ABO/%2BZ166925908,Z166925908,"Burckhardt, John-Lewis","Notes On The Bedouins And Wahábys, Collected During His Travels In The East,",,"Notes On The Bedouins And Wahábys, Collected During His Travels In The East, $ Published By Authority Of The Association For Promoting The Discovery Of The Interior Of Africa : In Two Volumes $ By The Late John Lewis Burckhardt",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,Henry Colburn And Richard Bentley,,,1831,1831,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 169",,,,eng,,,,,,,,,,,,Reisebericht,,,Beduine ; Wahhabiten,TravelogueE19 Afrika Asien $ TravelogueE19 Orient,,54.E.23.(Vol.2) PRUNK,ZALT,
AC10056576,AC10056576,990032171560603338,http://data.onb.ac.at/ABO/%2BZ176511804,Z176511804,"Leake, William Martin",,,Pelopomnesiaca: a supplement to traveis in Morea with maps.,,,London,,,Rodwell,,,1846,1846,,,,,,,,,,eng,,,,,,,,,,,,,,,Peloponnes ; Reise,,,35919-B MAG,ZALT,
AC11426030,AC11426030,990044678840603338,http://data.onb.ac.at/ABO/%2BZ184581402,Z184581402,"Keppel, George","Personal narrative of travels in Babylonia, Assyria, Media, and Scythia in the year 1824",,"Personal narrative of travels in Babylonia, Assyria, Media, and Scythia in the year 1824",1,,London,,,Colburn,,,1827,1827,,,,,,,,,,eng,,,,,,,,,,,,,,,Orient ; Reise,,,39.J.11.(Vol.1) PRUNK,ZALT,
AC11426046,AC11426046,990044678870603338,http://data.onb.ac.at/ABO/%2BZ184581505,Z184581505,"Keppel, George","Personal narrative of travels in Babylonia, Assyria, Media, and Scythia in the year 1824",,"Personal narrative of travels in Babylonia, Assyria, Media, and Scythia in the year 1824",2,,London,,,Colburn,,,1827,1827,,,,,,,,,,eng,,,,,,,,,,,,,,,Orient ; Reise,,,39.J.11.(Vol.2) PRUNK,ZALT,
AC09651697,AC09651697,990028032450603338,http://data.onb.ac.at/ABO/%2BZ174871404,Z174871404,"Allan, John-Harrison",,,"<<A>> Pictorial Tour In The Mediterranean $ Including Malta - Dalmatia - Turkey - Asia Minor - Grecian Archipelago - Egypt - Nubia - Greece - Ionian Islands - Sicily - Italy - And Spain $ By John H. Allan, Member Of The Athenian Archeological Society, And Of The Egyptian Society Of Cairo",,,London,London,,"Longman, Brown, Green, And Longmans",,,1843,1843,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 1143",,,,eng,,,,,,,,,,,,Reisebericht,,,Mittelmeerraum ; Bild,TravelogueE19 Europa Asien Afrika $ TravelogueE19 Orient,,54.A.21 PRUNK,ZALT,
AC10333671,AC10333671,990035002190603338,,,"Spilsbury, Francis B.",,,Picturesque scenery in the Holy Land and Syria $ delineated during the campaigns of 1799 and 1800 $ by F. B. Spilsbury,,,London,London,London,"Published By Edward Orme $ Printed By W. Bulmer, And Co.","Orme, Edward ; http://d-nb.info/gnd/105570163X",W. Bulmer and Co. ; http://d-nb.info/gnd/1087372283,1803,1803,"4 ungezählte Seiten, IV, 42 Seiten, 1 ungezählte Seite, 20 ungezählte Blätter Bildtafeln",20 Illustrationen,20,,2°,"Bibliografischer Nachweis. Chatzipanagioti-Sangmeister, 1062 ; Weber, Voyages and Travels (1953), 835 ; Röhricht, Bibliotheca Geografica Palaestinae, 1562",,,,eng,,,,,,,,,"Bell, ... $ Orme, Edward ; http://d-nb.info/gnd/105570163X",,,Reisebericht,,,Palästina ; Bild ; Syrien ; Bild,TravelogueE19 Asien $ TravelogueE19 Orient,,256546-D MAG,ZFID,
AC15746054,AC15746054,9958715077003338,http://data.onb.ac.at/ABO/%2BZ167887204,Z167887204,"Thornton, Thomas ; http://d-nb.info/gnd/134063147",<<The>> present state of Turkey,,"<<The>> Present State Of Turkey $ Or A Description Of The Political, Civil, And Religious, Constitution, Government, And Laws Of The Ottoman Empire; The Finances, Military And Naval Establishments; The State Of Learning, And Of Liberal And Mechanical Arts; The Manners And Domestic Economy Of The Turks And Other Subjects Of The Grand Signor; &c. &c. Together With The Geographical, Political, And Civil, State Of The Principalities Of Moldavia And Wallachia. From Observations Made, During A Residence Of Fifteen Years In Constantinople And The Turkish Provinces, $ By Thomas Thornton, Esq.",Vol. I.,"The Second Edition, With Corrections And Additions",London,London ; http://d-nb.info/gnd/4074335-4,,Printed For Joseph Mawman,"Mawman, Joseph ; http://d-nb.info/gnd/101478178",,1809,1809,"4 ungezählte Seiten, ccxxxi, 304 Seiten, 2 ungezählte gefaltete Blätter Bildtafeln",2 Illustrationen,2,,8°,"2 Kupferstich-Pläne (gezeichnet von W. W. Macpherson, gestochen von Cooper). - Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 1116",,,eng,,,,,,,,,"Cooper, ...",,,Reisebericht,,,Osmanisches Reich ; Geschichte 1790-1804,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,69.J.42.(Vol.1) PRUNK,ZALT,
AC15746057,AC15746057,9958715076903338,http://data.onb.ac.at/ABO/%2BZ167887307,Z167887307,"Thornton, Thomas ; http://d-nb.info/gnd/134063147",<<The>> present state of Turkey,,"<<The>> Present State Of Turkey $ Or A Description Of The Political, Civil, And Religious, Constitution, Government, And Laws Of The Ottoman Empire; The Finances, Military And Naval Establishments; The State Of Learning, And Of Liberal And Mechanical Arts; The Manners And Domestic Economy Of The Turks And Other Subjects Of The Grand Signor; &c. &c. Together With The Geographical, Political, And Civil, State Of The Principalities Of Moldavia And Wallachia. From Observations Made, During A Residence Of Fifteen Years In Constantinople And The Turkish Provinces, $ By Thomas Thornton, Esq.",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,Printed For Joseph Mawman,"Mawman, Joseph ; http://d-nb.info/gnd/101478178",,,1809,"6 ungezählte Seiten, 42 Seiten, 68 ungezählte Seiten",1 Illustration,1,,8°,1 Holzschnitt-Illustration. - Fußnoten,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 1116",,,eng,,,,,,,,,"Cooper, ...",,,Reisebericht,,,Osmanisches Reich ; Geschichte 1790-1804,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,69.J.42.(Vol.2) PRUNK,ZALT,
AC09691597,AC09691597,990028441110603338,http://data.onb.ac.at/ABO/%2BZ183932501,Z183932501,"Beechey, Frederick William ; http://d-nb.info/gnd/116107170",,,"Proceedings of the expedition to explore the northern coast of Africa, from Tripoly eastward; in 1821 and 1822 comprehending an account of the greater Syrtis and Cyrenaica; and of the ancient cities composing the Pentapolis",,,London,,,Murray,,,1828,1828,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 160",,,,eng,,,,,,,"Beechey, Henry William ; http://d-nb.info/gnd/1035140179",,,,,,,,Forschungsreise ; Libyen ; Küste,TravelogueE19 Afrika Asien $ TravelogueE19 Orient,,180806-C MAG,ZALT,
AC16604557,AC16604557,9958935603303338,http://data.onb.ac.at/ABO/%2BZ166906501,Z166906501,"Scott, C. Rochfort","Rambles In Egypt And Candia, With Details Of The Military Power And Resources Of Those Countries, And Observations On The Government, Policy, And Commercial System Of Mohammed Ali",,"Rambles In Egypt And Candia, With Details Of The Military Power And Resources Of Those Countries, And Observations On The Government, Policy, And Commercial System Of Mohammed Ali $ In Two Volumes $ By C. Rochfort Scott, Captain, H.P., Royal Staff Corps",Vol. I.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Henry Colburn, Publisher",,,1837,1837,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 263",,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten ; Kreta,TravelogueE19 Afrika $ TravelogueE19 Orient,,56.D.16.(Vol.1) PRUNK,ZALT,
AC16604560,AC16604560,9958935603203338,http://data.onb.ac.at/ABO/%2BZ166906604,Z166906604,"Scott, C. Rochfort","Rambles In Egypt And Candia, With Details Of The Military Power And Resources Of Those Countries, And Observations On The Government, Policy, And Commercial System Of Mohammed Ali",,"Rambles In Egypt And Candia, With Details Of The Military Power And Resources Of Those Countries, And Observations On The Government, Policy, And Commercial System Of Mohammed Ali $ In Two Volumes $ By C. Rochfort Scott, Captain, H.P., Royal Staff Corps",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Henry Colburn, Publisher",,,1837,1837,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 263",,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten ; Kreta,TravelogueE19 Afrika $ TravelogueE19 Orient,,56.D.16.(Vol.2) PRUNK,ZALT,
AC10055552,AC10055552,990032161150603338,http://data.onb.ac.at/ABO/%2BZ183918905,Z183918905,"Laurent, Peter Edmund",,,"Recollections of a classical tour through various parts of Greece, Turkey, and Italy made in the years 1818 and 1819",,,London,,,Whittaker,,,1821,1821,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 103",,,,eng,,,,,,,,,,,,,,,Griechenland ; Reise ; Italien ; Reise ; Reise ; Türkei,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,180320-C MAG,ZALT,
