,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC10013837,AC10013837,990031736570603338,http://data.onb.ac.at/ABO/%2BZ185132202,Z185132202,"Kinneir, John Macdonald",,,"Journey Through Asia Minor, Armenia And Koordistan, In The Years 1813 And 1814; With Remarks On The Marches Of Alexander And Retreat Of The Ten Thousand",,,London,,,Murray,,,1818,1818,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 055",,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Anatolien,TravelogueE19 Asien $ TravelogueE19 Orient,,76.D.7 PRUNK,ZALT,
AC09831738,AC09831738,990029875420603338,http://data.onb.ac.at/ABO/%2BZ200846206,Z200846206,"Edmonstone, Archibald",,,"<<A>> Journey To Two Of The Oases Of Upper Egypt, $ By Sir Archibald Edmonstone, Bart.",,,London,London,,John Murray,,,1822,1822,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten ; Ober- ; Reise,,,BE.10.L.47 PRUNK $ MF 4615 MIK,ZALT $ ZNEU,
AC10144915,AC10144915,990033073930603338,http://data.onb.ac.at/ABO/%2BZ166359708,Z166359708,"Muhammad ibn Hauqal, 'Abu-l-Qasim",,,"Kitab Masalik wa mamalik. The Oriental Geography Of Ebn Haukal, An Arabian Traveller Of the Tenth Century. Translated from a Manuscript in his own Posession, collated with one preserved in the Library of Eton College By Sir William Oeseley",,,London,,,"Cadell, Jun. & W. Davies",,,1800,1800,,,,,,,,,,eng,,,,,,,"Ouseley, William",,,,,,,,Geografie ; Orient,,,75.M.36 PRUNK,ZALT,
AC12064835,AC12064835,990046361550603338,http://data.onb.ac.at/ABO/%2BZ198223103,Z198223103,"Jolliffe, Thomas R.","Letters from Palestine, descriptive of a Tour through Galilee and Judaea",,"Letters from Palestine, descriptive of a Tour through Galilee and Judaea",1,,London,,,Black,,,1822,1822,"XII S., [1] Bl., 258 S.",,,,,"Bibliografischer Nachweis. Weber, Voyages and Travels (1952), 074",,,,eng,,,,,,,,,,,,,,,Palästina ; Reise,TravelogueE19 Asien $ TravelogueE19 Orient,,BE.5.W.58.(Vol.1) PRUNK,ZALT,
AC12064848,AC12064848,990046361590603338,http://data.onb.ac.at/ABO/%2BZ198223000,Z198223000,"Jolliffe, Thomas R.","Letters from Palestine, descriptive of a Tour through Galilee and Judaea",,"Letters from Palestine, descriptive of a Tour through Galilee and Judaea",2,,London,,,Black,,,1822,1822,"VII, 230 S.",,,,,"Bibliografischer Nachweis. Weber, Voyages and Travels (1952), 074",,,,eng,,,,,,,,,,,,,,,Palästina ; Reise,TravelogueE19 Orient,,BE.5.W.58.(Vol.2) PRUNK,ZALT,
AC12731733,AC12731733,990048764300603338,http://data.onb.ac.at/ABO/%2BZ220816305,Z220816305,"Emerson, James",Letters From The Ægean,,Letters From The Ægean,1,,London,,,"Colburn, Henry",,,1829,1829,"[1] mehrf. gef. Bl., XV, 244 S.",1 Kt.,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 172",,,,eng,,,,,,,,,,,,,,,Ägäis-Gebiet ; Reise,TravelogueE19 Europa $ TravelogueE19 Orient,,BE.12.G.46.(Vol.1) PRUNK,ZALT,
AC12731747,AC12731747,990048764370603338,http://data.onb.ac.at/ABO/%2BZ220816408,Z220816408,"Emerson, James",Letters From The Ægean,,Letters From The Ægean,2,,London,,,"Colburn, Henry",,,1829,1829,"[1] Bl., VIII, 266 S., [1] Bl.",1 Ill.,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 172",,,,eng,,,,,,,,,,,,,,,Ägäis-Gebiet ; Reise,TravelogueE19 Europa $ TravelogueE19 Orient,,BE.12.G.46.(Vol.2) PRUNK,ZALT,
AC09884448,AC09884448,990030413550603338,http://data.onb.ac.at/ABO/%2BZ19749100X,Z19749100X,"Galt, John",,,"Letters From The Levant; Containing Views Of The State Of Society, Manners, Opinions, And Commerce, In Greece, And Several Of The Principal Islands Of The Archipelago. Inscribed To The Prince Koslovsky",,,London,,,"Printed For T. Cadell And W. Davies, Strand",,,1813,1813,,,,,,"Bibliografischer Nachweis: Weber, Voyges and Travels (1952), 0032",,,,eng,,,,,,,,,,,,,,,Levante ; Briefsammlung,TravelogueE19 Europa Asien $ TravelogueE19 Orient,,BE.6.L.64 PRUNK,ZALT,
AC10134417,AC10134417,990032966460603338,http://data.onb.ac.at/ABO/%2BZ220290204,Z220290204,"Montague, Lady Mary Wortley",,,"Letters of Lady Mary Wortley Montague, written during her travels in Europe, Asia and Africa; to which are added poems by the same author.",,,Paris,,,Didot,,,1817,1817,320 S.,,,,,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0701",,,,eng,,,,,,,,,,,,,,,Reise ; Aufsatzsammlung,TravelogueE19 Europa Asien Afrika $ TravelogueE19 Orient,,765260-A MAG,ZALT,
AC10134418,AC10134418,990032966470603338,http://data.onb.ac.at/ABO/%2BZ202676705,Z202676705,"Montague, Mary Wortley",,,"Letters of the right honourable Lady ... Written during Mr. Wortley's embassy at Constantinople; to which are added Poems by the same author ; With a copious vocabulary and a table of the irregular verbs, by J. G. Flügel",,,Leipsic,Leipzig,,Printed for F. Volckmar,Volckmar,,1835,1835,"VIII, 241 S.",,,,,,,,,eng,,,,,,,"Flügel, J... G...",,,,,Gedicht,,,Istanbul ; Lyrik ; Englisch,,,593595-B MAG,ZALT,
